id,tournament_id,stadie_id,match_order,match_ret,winner_code,winner_name,winner_citizenship,winner_age,loser_code,loser_name,loser_citizenship,loser_age,winner_seed,loser_seed,match_score,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,stats_url,match_duration,win_aces,win_double_faults,win_first_serves_in,win_first_serves_total,win_first_serve_points_won,win_first_serve_points_total,win_second_serve_points_won,win_second_serve_points_total,win_break_points_saved,win_break_points_serve_total,win_service_points_won,win_service_points_total,win_first_serve_return_won,win_first_serve_return_total,win_second_serve_return_won,win_second_serve_return_total,win_break_points_converted,win_break_points_return_total,win_service_games_played,win_return_games_played,win_return_points_won,win_return_points_total,win_total_points_won,win_total_points_total,win_winners,win_forced_errors,win_unforced_errors,win_net_points_won,win_net_points_total,win_fastest_first_serves_kmh,win_average_first_serves_kmh,win_fastest_second_serve_kmh,win_average_second_serve_kmh,los_aces,los_double_faults,los_first_serves_in,los_first_serves_total,los_first_serve_points_won,los_first_serve_points_total,los_second_serve_points_won,los_second_serve_points_total,los_break_points_saved,los_break_points_serve_total,los_service_points_won,los_service_points_total,los_first_serve_return_won,los_first_serve_return_total,los_second_serve_return_won,los_second_serve_return_total,los_break_points_converted,los_break_points_return_total,los_service_games_played,los_return_games_played,los_return_points_won,los_return_points_total,los_total_points_won,los_total_points_total,los_winners,los_forced_errors,los_unforced_errors,los_net_points_won,los_net_points_total,los_fastest_first_serves_kmh,los_average_first_serves_kmh,los_fastest_second_serve_kmh,los_average_second_serve_kmh
2018-339-e873-d994-Q1,2018-339,Q1,3,,e873,Ernesto Escobedo,USA,21.489,d994,James Duckworth,AUS,25.943,3,WC,62 46 64,2,1,16,12,0,0,https://www.atptour.com/en/scores/2018/339/QS012/match-stats?isLive=False,101,17,2,48,83,38,48,19,35,4,6,57,83,15,49,16,32,4,8,14,14,31,81,88,164,,,,,,,,,,13,4,49,81,34,49,16,32,4,8,50,81,10,48,16,35,2,6,14,14,26,83,76,164,,,,,,,,,
2018-339-gb61-o376-Q1,2018-339,Q1,7,,gb61,Viktor Galovic,CRO,27.282,o376,Renzo Olivo,ARG,25.793,,7,46 63 62,2,1,16,11,0,0,https://www.atptour.com/en/scores/2018/339/QS009/match-stats?isLive=False,116,7,0,55,81,41,55,17,26,0,1,58,81,14,54,21,35,3,12,14,13,35,89,93,170,,,,,,,,,,8,5,54,89,40,54,14,35,9,12,54,89,14,55,9,26,1,1,13,14,23,81,77,170,,,,,,,,,
2018-339-h997-g940-Q1,2018-339,Q1,2,,h997,Yannick Hanfmann,GER,26.131,g940,Sam Groth,AUS,30.198,2,WC,64 76(7),2,0,13,10,1,0,https://www.atptour.com/en/scores/2018/339/QS010/match-stats?isLive=False,85,10,2,42,66,34,42,18,24,0,0,52,66,8,47,14,26,1,4,11,11,22,73,74,139,,,,,,,,,,21,2,47,73,39,47,12,26,3,4,51,73,8,42,6,24,0,0,11,11,14,66,65,139,,,,,,,,,
2018-339-kc04-kb09-Q1,2018-339,Q1,8,,kc04,Jozef Kovalik,SVK,25.155,kb09,Denis Kudla,USA,25.37,8,,76(5) 64,2,0,13,10,1,0,https://www.atptour.com/en/scores/2018/339/QS013/match-stats?isLive=False,92,7,3,48,81,34,48,18,33,8,10,52,81,5,34,14,25,3,6,11,11,19,59,71,140,,,,,,,,,,6,4,34,59,29,34,11,25,3,6,40,59,14,48,15,33,2,10,11,11,29,81,69,140,,,,,,,,,
2018-339-mp01-hb64-Q1,2018-339,Q1,4,,mp01,Michael Mmoh,USA,19.973,hb64,Quentin Halys,FRA,21.18,,4,64 64,2,0,12,8,0,0,https://www.atptour.com/en/scores/2018/339/QS014/match-stats?isLive=False,79,8,4,32,56,25,32,18,24,4,4,43,56,8,29,15,32,2,5,10,10,23,61,66,117,,,,,,,,,,9,5,29,61,21,29,17,32,3,5,38,61,7,32,6,24,0,4,10,10,13,56,51,117,,,,,,,,,
2018-339-o513-a853-Q1,2018-339,Q1,6,,o513,Sebastian Ofner,AUT,21.634,a853,Marcelo Arevalo,ESA,27.204,6,,26 76(3) 62,2,1,15,14,1,0,https://www.atptour.com/en/scores/2018/339/QS015/match-stats?isLive=False,115,17,3,57,85,39,57,16,28,5,8,55,85,20,56,16,36,3,10,14,14,36,92,91,177,,,,,,,,,,4,4,56,92,36,56,20,36,7,10,56,92,18,57,12,28,3,8,14,14,30,85,86,177,,,,,,,,,
2018-339-pb22-pf65-Q1,2018-339,Q1,5,,pb22,Peter Polansky,CAN,29.543,pf65,Filip Peliwo,CAN,23.919,5,,62 62,2,0,12,4,0,0,https://www.atptour.com/en/scores/2018/339/QS011/match-stats?isLive=False,65,4,1,26,51,22,26,14,25,1,1,36,51,17,34,11,24,4,11,8,8,28,58,64,109,,,,,,,,,,2,5,34,58,17,34,13,24,7,11,30,58,4,26,11,25,0,1,8,8,15,51,45,109,,,,,,,,,
2018-339-sj55-bk92-Q1,2018-339,Q1,1,,sj55,John-Patrick Smith,AUS,28.935,bk92,Alexander Bublik,KAZ,20.537,,1,64 61,2,0,12,5,0,0,https://www.atptour.com/en/scores/2018/339/QS008/match-stats?isLive=False,58,3,0,31,44,25,31,7,13,0,0,32,44,13,36,16,19,4,5,8,9,29,55,61,99,,,,,,,,,,4,7,36,55,23,36,3,19,1,5,26,55,6,31,6,13,0,0,9,8,12,44,38,99,,,,,,,,,
2018-339-e873-kc04-Q2,2018-339,Q2,2,,e873,Ernesto Escobedo,USA,21.489,kc04,Jozef Kovalik,SVK,25.155,3,8,62 76(4),2,0,13,8,1,0,https://www.atptour.com/en/scores/2018/339/QS006/match-stats?isLive=False,85,10,1,54,83,40,54,16,29,5,5,56,83,6,32,9,21,2,2,10,10,15,53,71,136,,,,,,,,,,6,0,32,53,26,32,12,21,0,2,38,53,14,54,13,29,0,5,10,10,27,83,65,136,,,,,,,,,
2018-339-mp01-o513-Q2,2018-339,Q2,3,,mp01,Michael Mmoh,USA,19.973,o513,Sebastian Ofner,AUT,21.634,,6,64 63,2,0,12,7,0,0,https://www.atptour.com/en/scores/2018/339/QS007/match-stats?isLive=False,66,6,1,30,49,26,30,15,19,1,1,41,49,4,28,15,24,2,3,10,9,19,52,60,101,,,,,,,,,,6,2,28,52,24,28,9,24,1,3,33,52,4,30,4,19,0,1,9,10,8,49,41,101,,,,,,,,,
